"","Year","Month","Site","PM","SM","unknown","NA","total","proportion","SiteType"
"88",2009,"September","FP",1,0,0,0,1,1,"Less Contaminated"
"89",2010,"August","FP",0,1,0,0,1,0,"Less Contaminated"
"90",2010,"August","GC",0,1,0,0,1,0,"Less Contaminated"
"91",2010,"August","LS",2,0,1,0,3,0.666666666666667,"Less Contaminated"
"92",2010,"August","P27",12,12,0,0,24,0.5,"More Contaminated"
"93",2010,"August","SI",0,1,4,0,5,0,"More Contaminated"
"94",2010,"July","DC",1,0,0,0,1,1,"Less Contaminated"
"95",2010,"July","FP",0,1,0,0,1,0,"Less Contaminated"
"96",2010,"July","GC",1,0,0,0,1,1,"Less Contaminated"
"97",2010,"July","LS",2,1,0,0,3,0.666666666666667,"Less Contaminated"
"98",2010,"July","P27",10,12,0,0,22,0.454545454545455,"More Contaminated"
"99",2010,"July","SI",0,2,1,0,3,0,"More Contaminated"
"100",2010,"June","FP",1,1,0,0,2,0.5,"Less Contaminated"
"101",2010,"June","LS",4,9,1,0,14,0.285714285714286,"Less Contaminated"
"102",2010,"June","P27",5,3,0,0,8,0.625,"More Contaminated"
"103",2010,"June","SI",2,5,4,0,11,0.181818181818182,"More Contaminated"
"104",2010,"May","DC",2,4,0,0,6,0.333333333333333,"Less Contaminated"
"105",2010,"May","FP",6,5,2,0,13,0.461538461538462,"Less Contaminated"
"106",2010,"May","LS",8,1,0,0,9,0.888888888888889,"Less Contaminated"
"107",2010,"May","P27",2,5,1,0,8,0.25,"More Contaminated"
"108",2010,"May","SI",14,17,2,0,33,0.424242424242424,"More Contaminated"
"109",2010,"October","DC",0,0,1,0,1,0,"Less Contaminated"
"110",2010,"October","FP",0,1,2,0,3,0,"Less Contaminated"
"111",2010,"October","GC",0,1,1,0,2,0,"Less Contaminated"
"112",2010,"October","LS",0,4,2,0,6,0,"Less Contaminated"
"113",2010,"October","SI",1,3,1,0,5,0.2,"More Contaminated"
"114",2011,"August","DC",0,1,0,0,1,0,"Less Contaminated"
"115",2011,"August","FP",3,1,1,0,5,0.6,"Less Contaminated"
"116",2011,"August","LS",5,1,1,0,7,0.714285714285714,"Less Contaminated"
"117",2011,"August","P27",14,12,0,0,26,0.538461538461538,"More Contaminated"
